label,youtube_id,time_start,time_end,split,is_cc,label_id
abseiling,_4YTwq0-73Y,44,54,train,0,0
air drumming,_axE99QAhe8,26,36,train,0,1
answering questions,_5W9Fxl_dFE,186,196,train,0,2
applauding,_LHpfh0rXjk,12,22,train,0,3
applying cream,_-mM9e_yGog,67,77,train,0,4
archery,_Buw5qNQZto,30,40,train,0,5
arm wrestling,_Lg6oKsuP0o,17,27,train,0,6
arranging flowers,_3gsKrwe8Sg,153,163,train,0,7
assembling computer,_1i9FTdOxao,88,98,train,0,8
auctioning,_64McxlS1ck,318,328,train,0,9
baby waking up,_oADyQKOaqk,119,129,train,0,10
baking cookies,_4oL_A1gWnA,659,669,train,0,11
balloon blowing,_cRCgYlVkh0,30,40,train,0,12
bandaging,_eduRRbJ2PM,30,40,train,0,13
barbequing,_-lxAKTineA,85,95,train,0,14
bartending,_6EheA5xKXo,110,120,train,0,15
beatboxing,_UDH34qhGMg,96,106,train,0,16
bee keeping,_Eh8tJJQnig,248,258,train,0,17
belly dancing,_5BwgCeZ--w,48,58,train,0,18
bench pressing,_837xlAuAD0,5,15,train,0,19
bending back,_-3jARyyZN8,0,10,train,0,20
bending metal,_bzR115xW20,16,26,train,0,21
biking through snow,_8FefRzcWjg,183,193,train,0,22
blasting sand,_2tN_EGlyaQ,0,10,train,0,23
blowing glass,_5pbsyLWSio,19,29,train,0,24
blowing leaves,_CBU_T8JGi0,177,187,train,0,25
blowing nose,_JKOsbS8x5w,8,18,train,0,26
blowing out candles,_cR6OPDU2Dw,2,12,train,0,27
bobsledding,_8MElhqjlic,15,25,train,0,28
bookbinding,_dAssII6vac,281,291,train,0,29
bouncing on trampoline,_b3XHP2olJA,116,126,train,0,30
bowling,_2f3DMpL24o,4,14,train,0,31
braiding hair,__4frZhaVDs,4,14,train,0,32
breading or breadcrumbing,_2ZnViCaSwo,490,500,train,0,33
breakdancing,_5mJZ3w8xrQ,26,36,train,0,34
brush painting,_6ZcY6sem3E,365,375,train,0,35
brushing hair,_4j6onyuivc,4,14,train,0,36
brushing teeth,_99gyAUUgy4,51,61,train,0,37
building cabinet,_q1vd-ytbiA,172,182,train,0,38
building shed,_1d4XfrX7_c,117,127,train,0,39
bungee jumping,_CinNbxnhok,23,33,train,0,40
busking,__mSfyLv_Bo,49,59,train,0,41
canoeing or kayaking,_49gtG4Q95c,381,391,train,0,42
capoeira,_6SwynXL7a0,25,35,train,0,43
carrying baby,_6jpMTxRak0,103,113,train,0,44
cartwheeling,_hxeoQvSuic,128,138,train,0,45
carving pumpkin,_cn9IisLkHs,12,22,train,0,46
catching fish,_cjFFhS_sx4,24,34,train,0,47
catching or throwing baseball,_5QE7kWjf_4,111,121,train,0,48
catching or throwing frisbee,_9kxjrXouss,30,40,train,0,49
catching or throwing softball,_qDpOePqdiI,32,42,train,0,50
celebrating,_HKhaJVitzs,178,188,train,0,51
changing oil,_8h4w4Dr0rw,67,77,train,0,52
changing wheel,_2KXAVB4M5o,8,18,train,0,53
checking tires,_itQqFAxkpQ,19,29,train,0,54
cheerleading,_0OTKPU1E5w,139,149,train,0,55
chopping wood,_7d78UQBpNk,11,21,train,0,56
clapping,_86MVJAAEDg,1,11,train,0,57
clay pottery making,_BieI1S31tU,88,98,train,0,58
clean and jerk,_ai0rs08uHQ,0,10,train,0,59
cleaning floor,_b97u3Z7ED0,90,100,train,0,60
cleaning gutters,_GSOgQbhJ6k,2,12,train,0,61
cleaning pool,_e_k-B9t2CU,19,29,train,0,62
cleaning shoes,_7YmmcNBeTU,267,277,train,0,63
cleaning toilet,_jGEEGorZjg,28,38,train,0,64
cleaning windows,_D5biNVIvnA,1,11,train,0,65
climbing a rope,_OwqS4S82vE,1,11,train,0,66
climbing ladder,_B4X3cxTu9w,15,25,train,0,67
climbing tree,_De23DM1pso,461,471,train,0,68
contact juggling,_Dh421Enwnw,43,53,train,0,69
cooking chicken,_6oM1kN-CLI,115,125,train,0,70
cooking egg,_qsTt3oZ3rE,288,298,train,0,71
cooking on campfire,_lzNBnU4kD4,0,10,train,0,72
cooking sausages,_pbeK2F52pY,37,47,train,0,73
counting money,_EClUNKW0oM,241,251,train,0,74
country line dancing,_0hmyfiUh1U,40,50,train,0,75
cracking neck,_CMplhoIaIc,2,12,train,0,76
crawling baby,_9H-9LC2myA,17,27,train,0,77
crossing river,_6Ql6NWs0eM,31,41,train,0,78
crying,_B2oPdgY1nk,26,36,train,0,79
curling hair,_-erblzPWjA,231,241,train,0,80
cutting nails,_PNeaHzrYOc,19,29,train,0,81
cutting pineapple,_Dd1lUCXDXw,55,65,train,0,82
cutting watermelon,_acc4jVYGyY,44,54,train,0,83
dancing ballet,_6VEY0lZyIw,79,89,train,0,84
dancing charleston,_BK3cg_VjRY,6,16,train,0,85
dancing gangnam style,_3Vdj58fmW4,21,31,train,0,86
dancing macarena,_Bv1E2ZifjU,1,11,train,0,87
deadlifting,_UINUv7n8Cs,4,14,train,0,88
decorating the christmas tree,_6XDfEX72tU,33,43,train,0,89
digging,_6sN2zOgg9g,39,49,train,0,90
dining,_8Cx4qB_MxU,167,177,train,0,91
disc golfing,_H_EJhV5d0w,39,49,train,0,92
diving cliff,_3ea530Qem8,3,13,train,0,93
dodgeball,_gKPgoFksDk,8,18,train,0,94
doing aerobics,_ZujEyyrR_Q,263,273,train,0,95
doing laundry,_e-VNVUBrro,4,14,train,0,96
doing nails,_KPl2W5rJp8,471,481,train,0,97
drawing,_BYWOfLE8fw,440,450,train,0,98
dribbling basketball,_1HMW7qHBDw,9,19,train,0,99
drinking,--uWuXty1jw,27,37,train,0,100
drinking beer,_0zMoHv0yK4,3,13,train,0,101
drinking shots,_Lj2PYvvzLw,7,17,train,0,102
driving car,_2fSxU6bdKw,0,10,train,0,103
driving tractor,_f88s6vQsXI,194,204,train,0,104
drop kicking,_5NqEQkH3Mw,5,15,train,0,105
drumming fingers,_5GE3VMuIxs,4,14,train,0,106
dunking basketball,_1v0uvhhT3Y,4,14,train,0,107
dying hair,_9zgrMH5hzM,56,66,train,0,108
eating burger,_3vZKUxeQtg,298,308,train,0,109
eating cake,_0_iIWfN2BA,11,21,train,0,110
eating carrots,_6jzSJIGx8I,8,18,train,0,111
eating chips,_b0X1OLg31A,20,30,train,0,112
eating doughnuts,_426yGBl5Fc,83,93,train,0,113
eating hotdog,_vbY4MAapLk,25,35,train,0,114
eating ice cream,_7t7By0T37Y,14,24,train,0,115
eating spaghetti,_BJ-oYP106Q,3,13,train,0,116
eating watermelon,_4ak_NxQ2LY,0,10,train,0,117
egg hunting,_v2TrbzMAd4,17,27,train,0,118
exercising arm,_IUPuK0l2WA,9,19,train,0,119
exercising with an exercise ball,0GC584HX6XU,42,52,train,0,120
extinguishing fire,_gI8VvxsmDw,48,58,train,0,121
faceplanting,_4MQQrk6CbE,10,20,train,0,122
feeding birds,_dRMQHko4js,32,42,train,0,123
feeding fish,_7oVa8EMee0,30,40,train,0,124
feeding goats,_EFNrynmQbA,14,24,train,0,125
filling eyebrows,_-Z6R8QxNxM,1,11,train,0,126
finger snapping,_2siYuJc2zw,8,18,train,0,127
fixing hair,_Gpt74onMq8,16,26,train,0,128
flipping pancake,_kWxjajAxKU,175,185,train,0,129
flying kite,_6HidsbrUEE,27,37,train,0,130
folding clothes,_6wMS4DEGcc,39,49,train,0,131
folding napkins,__0muxHV-Uw,43,53,train,0,132
folding paper,_55ZGDP8Dxw,52,62,train,0,133
front raises,_fZg5fnT8T0,2,12,train,0,134
frying vegetables,_4svu0s94xs,185,195,train,0,135
garbage collecting,_sEUENnX7jQ,76,86,train,0,136
gargling,_R0uqfgp3Sk,51,61,train,0,137
getting a haircut,__yj3L_BUxk,300,310,train,0,138
getting a tattoo,_6Q5Kb4TXWM,0,10,train,0,139
giving or receiving award,_D7hYSZBXwQ,232,242,train,0,140
golf chipping,_0kQTMxlT7A,5,15,train,0,141
golf driving,_OSlE3muF2o,1,11,train,0,142
golf putting,_9oLaWwhTB4,77,87,train,0,143
grinding meat,_De8DPCmiyc,154,164,train,0,144
grooming dog,_74dL6iDSMM,381,391,train,0,145
grooming horse,_aIoTXNvpFg,243,253,train,0,146
